group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
String,Bench Vars::apply(string).,,,,1218912.0,ns,5
String,Bench Vars::apply(string).,,,,2503515.0,ns,10
String,Bench Vars::apply(string).,,,,3775007.0,ns,15
String,Bench Vars::apply(string).,,,,4808905.0,ns,20
String,Bench Vars::apply(string).,,,,5996697.0,ns,25
String,Bench Vars::apply(string).,,,,7557180.0,ns,30
String,Bench Vars::apply(string).,,,,8441703.0,ns,35
String,Bench Vars::apply(string).,,,,9536380.0,ns,40
String,Bench Vars::apply(string).,,,,10635065.0,ns,45
String,Bench Vars::apply(string).,,,,12136385.0,ns,50
String,Bench Vars::apply(string).,,,,13623871.0,ns,55
String,Bench Vars::apply(string).,,,,14101222.0,ns,60
String,Bench Vars::apply(string).,,,,15216574.0,ns,65
String,Bench Vars::apply(string).,,,,16307935.0,ns,70
String,Bench Vars::apply(string).,,,,17396761.0,ns,75
String,Bench Vars::apply(string).,,,,18876960.0,ns,80
String,Bench Vars::apply(string).,,,,20157684.0,ns,85
String,Bench Vars::apply(string).,,,,21297369.0,ns,90
String,Bench Vars::apply(string).,,,,22776590.0,ns,95
String,Bench Vars::apply(string).,,,,23717146.0,ns,100
String,Bench Vars::apply(string).,,,,25140724.0,ns,105
String,Bench Vars::apply(string).,,,,25966136.0,ns,110
String,Bench Vars::apply(string).,,,,27140691.0,ns,115
String,Bench Vars::apply(string).,,,,27974974.0,ns,120
String,Bench Vars::apply(string).,,,,29285681.0,ns,125
String,Bench Vars::apply(string).,,,,30174903.0,ns,130
String,Bench Vars::apply(string).,,,,31379776.0,ns,135
String,Bench Vars::apply(string).,,,,33107483.0,ns,140
String,Bench Vars::apply(string).,,,,34263913.0,ns,145
String,Bench Vars::apply(string).,,,,34830676.0,ns,150
String,Bench Vars::apply(string).,,,,36075506.0,ns,155
String,Bench Vars::apply(string).,,,,37096232.0,ns,160
String,Bench Vars::apply(string).,,,,38277373.0,ns,165
String,Bench Vars::apply(string).,,,,39505912.0,ns,170
String,Bench Vars::apply(string).,,,,40716449.0,ns,175
String,Bench Vars::apply(string).,,,,41940516.0,ns,180
String,Bench Vars::apply(string).,,,,42985098.0,ns,185
String,Bench Vars::apply(string).,,,,44653305.0,ns,190
String,Bench Vars::apply(string).,,,,46151473.0,ns,195
String,Bench Vars::apply(string).,,,,46530296.0,ns,200
String,Bench Vars::apply(string).,,,,48013633.0,ns,205
String,Bench Vars::apply(string).,,,,49070280.0,ns,210
String,Bench Vars::apply(string).,,,,50572768.0,ns,215
String,Bench Vars::apply(string).,,,,51766576.0,ns,220
String,Bench Vars::apply(string).,,,,52320065.0,ns,225
String,Bench Vars::apply(string).,,,,53415457.0,ns,230
String,Bench Vars::apply(string).,,,,54660211.0,ns,235
String,Bench Vars::apply(string).,,,,56016247.0,ns,240
String,Bench Vars::apply(string).,,,,56949582.0,ns,245
String,Bench Vars::apply(string).,,,,58134156.0,ns,250
String,Bench Vars::apply(string).,,,,59341898.0,ns,255
String,Bench Vars::apply(string).,,,,60331854.0,ns,260
String,Bench Vars::apply(string).,,,,62079562.0,ns,265
String,Bench Vars::apply(string).,,,,63151461.0,ns,270
String,Bench Vars::apply(string).,,,,64027358.0,ns,275
String,Bench Vars::apply(string).,,,,64906340.0,ns,280
String,Bench Vars::apply(string).,,,,66634356.0,ns,285
String,Bench Vars::apply(string).,,,,67429768.0,ns,290
String,Bench Vars::apply(string).,,,,68565996.0,ns,295
String,Bench Vars::apply(string).,,,,69817269.0,ns,300
String,Bench Vars::apply(string).,,,,70857067.0,ns,305
String,Bench Vars::apply(string).,,,,72464328.0,ns,310
String,Bench Vars::apply(string).,,,,73847998.0,ns,315
String,Bench Vars::apply(string).,,,,75515058.0,ns,320
String,Bench Vars::apply(string).,,,,75421261.0,ns,325
String,Bench Vars::apply(string).,,,,76639169.0,ns,330
String,Bench Vars::apply(string).,,,,78112480.0,ns,335
String,Bench Vars::apply(string).,,,,79111170.0,ns,340
String,Bench Vars::apply(string).,,,,80507458.0,ns,345
String,Bench Vars::apply(string).,,,,83908243.0,ns,350
String,Bench Vars::apply(string).,,,,82735965.0,ns,355
String,Bench Vars::apply(string).,,,,83555202.0,ns,360
String,Bench Vars::apply(string).,,,,85691297.0,ns,365
String,Bench Vars::apply(string).,,,,86255101.0,ns,370
String,Bench Vars::apply(string).,,,,88155616.0,ns,375
String,Bench Vars::apply(string).,,,,89091931.0,ns,380
String,Bench Vars::apply(string).,,,,90500643.0,ns,385
String,Bench Vars::apply(string).,,,,90707550.0,ns,390
String,Bench Vars::apply(string).,,,,91639693.0,ns,395
String,Bench Vars::apply(string).,,,,93598157.0,ns,400
String,Bench Vars::apply(string).,,,,94194369.0,ns,405
String,Bench Vars::apply(string).,,,,95611022.0,ns,410
String,Bench Vars::apply(string).,,,,97246103.0,ns,415
String,Bench Vars::apply(string).,,,,98311550.0,ns,420
String,Bench Vars::apply(string).,,,,99084337.0,ns,425
String,Bench Vars::apply(string).,,,,100402675.0,ns,430
String,Bench Vars::apply(string).,,,,101618743.0,ns,435
String,Bench Vars::apply(string).,,,,102887995.0,ns,440
String,Bench Vars::apply(string).,,,,103783307.0,ns,445
String,Bench Vars::apply(string).,,,,105274668.0,ns,450
String,Bench Vars::apply(string).,,,,106804749.0,ns,455
String,Bench Vars::apply(string).,,,,107776671.0,ns,460
String,Bench Vars::apply(string).,,,,109216315.0,ns,465
String,Bench Vars::apply(string).,,,,111091899.0,ns,470
String,Bench Vars::apply(string).,,,,112563364.0,ns,475
String,Bench Vars::apply(string).,,,,111856348.0,ns,480
String,Bench Vars::apply(string).,,,,113031053.0,ns,485
String,Bench Vars::apply(string).,,,,114046357.0,ns,490
String,Bench Vars::apply(string).,,,,117397939.0,ns,495
String,Bench Vars::apply(string).,,,,117492322.0,ns,500
